run,seed,final_best,iterations,FE
0,30,8.269323425968949,100,4040
1,31,12.974426033895526,100,4040
2,32,12.430433359960688,100,4040
3,33,12.658363124544337,100,4040
4,34,7.964745604940404,100,4040
5,35,8.983469357760882,100,4040
6,36,14.935340189642332,100,4040
7,37,7.326504276773974,100,4040
8,38,8.84728760861924,100,4040
9,39,6.039201223183056,100,4040
10,40,26.904812949466105,100,4040
11,41,8.017242257349324,100,4040
12,42,11.955052861406315,100,4040
13,43,9.560745350018095,100,4040
14,44,14.683886157277769,100,4040
15,45,18.836460787171063,100,4040
16,46,18.136438474528063,100,4040
17,47,13.35084330310373,100,4040
18,48,10.01106149069453,100,4040
19,49,11.85872470255488,100,4040
20,50,16.745951386055992,100,4040
21,51,10.229225290109596,100,4040
22,52,8.180635452234029,100,4040
23,53,7.1433132869984775,100,4040
24,54,14.932963946249316,100,4040
25,55,5.930430103864495,100,4040
26,56,8.52129547815369,100,4040
27,57,6.4813272452930875,100,4040
28,58,26.984111037881206,100,4040
29,59,6.369538232488054,100,4040
